version;id;name;faulty;ef;ep;nf;np;tarantula;ochiai;tarantula_rank;ochiai_rank
23;675;org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.equals(java.lang.Object);False;0;51;1;3777;0.0;0.0;1729.5;1729.5
23;210;org.joda.time.tz.CachedDateTimeZone.hashCode();False;0;415;1;3413;0.0;0.0;1729.5;1729.5
23;885;org.joda.time.base.AbstractInstant.isAfter(long);False;0;8;1;3820;0.0;0.0;1729.5;1729.5
23;2344;org.joda.time.base.BasePeriod.toDurationFrom(org.joda.time.ReadableInstant);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1871;org.joda.time.format.DateTimeFormatter.printTo(java.lang.StringBuffer,org.joda.time.ReadablePartial);False;0;120;1;3708;0.0;0.0;1729.5;1729.5
23;3113;org.joda.time.field.DelegatedDateTimeField.roundCeiling(long);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;236;org.joda.time.chrono.GJEraDateTimeField.getDurationField();False;0;47;1;3781;0.0;0.0;1729.5;1729.5
23;2120;org.joda.time.LocalTime.fromMillisOfDay(long,org.joda.time.Chronology);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;1541;org.joda.time.DateMidnight.era();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2079;org.joda.time.LocalDate.dayOfYear();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2190;org.joda.time.MutableInterval(java.lang.Object);False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;2369;org.joda.time.MutablePeriod.getMillis();False;0;127;1;3701;0.0;0.0;1729.5;1729.5
23;3182;org.joda.time.field.BaseDurationField.getValueAsLong(long);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1968;org.joda.time.LocalDateTime.withDayOfYear(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3302;org.joda.time.chrono.GJEraDateTimeField.roundFloor(long);False;0;5;1;3823;0.0;0.0;1729.5;1729.5
23;658;org.joda.time.field.StrictDateTimeField.getInstance(org.joda.time.DateTimeField);False;0;10;1;3818;0.0;0.0;1729.5;1729.5
